"","ID","SEX","DOB_MONTH","DOB_DAY","DOB_YEAR","REGOFF","STATE"
"206",14062,"F",1,18,11,31,3
"207",14246,"M",7,16,2,31,3
"208",14308,"F",5,21,4,31,3
"209",14342,"M",2,23,12,31,3
"210",14348,"M",7,9,4,31,3
"211",14402,"F",2,28,10,31,3
"212",14450,"F",9,5,16,31,3
"213",14544,"F",8,20,0,31,3
"214",14545,"M",2,24,11,31,3
"215",14565,"F",11,19,11,31,3
"216",14598,"F",5,5,12,31,3
"217",14725,"M",2,11,14,31,3
"218",14733,"F",12,20,16,31,3
"219",14744,"F",7,15,1,31,6
"220",14780,"M",4,19,13,31,6
"221",14841,"M",3,25,96,31,3
"222",14845,"F",6,23,16,31,3
"223",15103,"F",6,9,99,31,53
"224",15150,"F",6,23,12,31,3
"225",15255,"M",8,22,2,31,6
"226",16412,"F",3,31,9,31,37
"227",16544,"F",2,3,8,31,37
"228",16872,"F",3,16,9,31,53
"229",17324,"F",8,25,3,31,37
"230",17338,"F",6,1,91,31,37
"231",17380,"M",5,14,12,31,3
"232",17437,"F",1,28,13,31,37
"233",17465,"F",8,25,11,31,37
"234",17556,"F",11,23,14,31,37
"235",17596,"M",2,1,14,31,3
"236",17909,"M",1,21,16,31,28
"237",17911,"F",7,3,10,31,37
"238",17926,"F",8,18,12,31,37
"239",17930,"F",3,27,98,31,37
"240",17935,"F",7,22,16,31,37
"241",17937,"M",9,14,9,31,37
"242",17938,"F",9,4,13,31,37
"243",17946,"F",4,23,1,31,37
"244",17947,"F",4,21,98,31,37
"245",17950,"M",6,1,16,31,6
"246",17954,"F",12,1,8,31,37
"247",17956,"M",3,23,6,31,37
"248",17957,"F",12,9,11,31,37
"249",17961,"F",6,22,4,31,37
"250",17962,"F",7,22,89,31,37
"251",17966,"M",9,30,8,31,37
"252",17968,"F",6,19,3,31,37
"253",17970,"F",9,27,0,31,37
"254",17971,"M",1,13,7,31,37
"255",17972,"M",9,25,4,31,6
"256",17975,"M",2,23,13,31,37
"257",17977,"M",12,15,2,31,37
"258",17978,"M",4,11,10,31,37
"259",17981,"M",7,24,12,31,3
"260",17992,"M",4,15,11,31,37
"261",17993,"M",1,29,0,31,37
"262",17994,"F",9,7,96,31,37
"263",17995,"M",6,6,12,31,37
"264",17996,"F",7,30,11,31,3
"265",17999,"F",6,30,7,31,37
"266",18000,"F",7,18,98,31,37
"267",18001,"M",6,28,2,31,37
"268",18002,"M",2,14,10,31,37
"269",18007,"M",6,2,15,31,37
"270",18008,"F",5,31,15,31,3
"271",18010,"F",9,2,13,31,37
"272",18013,"F",9,2,94,31,37
"273",18021,"F",12,24,16,31,37
"274",18026,"M",1,8,17,31,3
"275",18035,"M",10,11,8,31,37
"276",18036,"F",9,27,87,31,37
"277",18037,"M",5,4,12,31,37
"278",18043,"F",9,20,91,31,37
"279",18056,"M",1,10,16,31,3
"280",18057,"F",11,2,92,31,37
"281",18060,"F",10,12,9,31,37
"282",18065,"F",2,14,98,31,37
"283",18069,"F",9,11,89,31,3
"284",18072,"M",8,27,5,31,37
"285",18079,"F",7,30,4,31,37
"286",18086,"F",4,7,4,31,37
"287",18095,"F",8,20,3,31,37
"288",18096,"F",7,19,5,31,37
"289",18097,"F",1,20,4,31,37
"290",18098,"F",10,23,7,31,37
"291",18104,"F",2,17,11,31,37
"292",18105,"F",4,12,84,31,37
"293",18107,"M",11,1,2,31,37
"294",18388,"M",10,19,12,31,3
"295",18404,"M",8,9,3,31,3
"296",18688,"M",12,15,15,31,3
"297",18859,"F",11,24,15,31,6
"298",18868,"F",4,2,6,31,3
"299",18937,"F",8,2,10,31,35
"300",19038,"M",3,13,7,31,3
"301",19048,"M",4,7,6,31,37
"302",19247,"M",2,5,17,31,3
"303",19305,"M",9,16,15,31,3
"304",19311,"M",1,23,5,31,3
"305",19385,"M",4,9,13,31,3
"306",19522,"M",12,5,16,31,3
"307",19594,"F",3,22,11,31,3
"308",19755,"F",9,20,97,31,37
"309",19854,"F",6,4,13,31,3
"310",19883,"M",6,14,11,31,3
"311",19890,"F",9,8,13,31,3
"312",19930,"F",5,23,97,31,3
"313",19960,"F",8,19,7,31,3
"314",19985,"F",3,10,5,31,28
"315",19999,"F",9,23,5,31,35
"316",20001,"F",12,10,94,31,3
"317",20007,"M",5,8,14,31,7
"318",20115,"M",9,21,10,31,3
"319",20133,"F",11,10,11,31,3
"320",20160,"F",3,6,10,31,3
"321",20219,"F",3,27,1,31,3
"322",20262,"F",4,17,6,31,6
"323",20265,"F",9,23,97,31,3
"324",20276,"F",5,28,15,31,3
"325",20291,"M",3,31,5,31,3
"326",20317,"M",2,20,17,31,3
"327",20339,"M",11,6,13,31,3
"328",20384,"M",7,1,8,31,3
"329",20389,"M",7,23,8,31,3
"330",20390,"F",11,6,15,31,3
"331",20402,"M",3,29,6,31,3
"332",20410,"M",5,20,16,31,3
"333",20413,"F",12,29,10,31,53
"334",20417,"M",2,3,8,31,6
"335",20427,"F",5,10,14,31,3
"336",20430,"M",1,3,96,31,53
"337",20439,"F",11,27,11,31,53
"338",20443,"F",8,24,11,31,3
"339",20446,"F",3,20,99,31,3
"340",20450,"M",1,16,11,31,3
"341",20455,"F",7,9,97,31,28
"342",20459,"F",4,19,92,31,3
"343",20466,"F",9,3,94,31,53
"344",20476,"M",4,1,12,31,28
"345",20504,"F",1,5,1,31,28
"346",20519,"M",1,24,96,31,3
"347",20544,"F",2,18,8,31,3
"348",20550,"F",5,16,10,31,37
"349",20560,"F",3,13,4,31,28
"350",20641,"M",10,18,14,31,3
"351",20686,"M",7,12,15,31,6
"352",20771,"F",7,26,16,31,3
"353",20830,"M",8,31,13,31,3
"354",20867,"M",5,1,11,31,3
"355",20885,"M",10,17,11,31,6
"356",20895,"F",8,26,2,31,37
"357",20896,"M",10,2,3,31,3
"358",21077,"F",5,11,7,31,3
"359",21091,"F",10,18,12,31,28
"360",21110,"F",3,25,11,31,3
"361",21163,"M",2,17,5,31,3
"362",21164,"F",5,27,16,31,46
"363",21240,"M",6,5,12,31,3
"364",21343,"F",2,5,99,31,37
"365",21390,"F",3,8,14,31,37
"366",21425,"F",11,22,99,31,35
"367",21427,"F",9,30,99,31,3
"368",21428,"M",3,19,15,31,35
"369",21431,"M",5,7,14,31,35
"370",21432,"F",8,1,16,31,35
"371",21433,"F",10,10,6,31,35
"372",21434,"F",1,4,7,31,35
"373",21436,"F",5,18,14,31,35
"374",21437,"M",9,1,15,31,35
"375",21440,"M",1,14,11,31,35
"376",21443,"M",6,8,15,31,35
"377",21448,"F",8,1,5,31,35
"378",21450,"F",3,7,4,31,35
"379",21451,"M",11,23,4,31,35
"380",21452,"F",8,15,13,31,35
"381",21453,"F",2,2,10,31,35
"382",21454,"F",2,23,96,31,35
"383",21455,"F",6,30,99,31,35
"384",21456,"F",9,4,8,31,35
"385",21457,"M",4,9,11,31,35
"386",21459,"M",10,27,15,31,35
"387",21460,"M",3,4,97,31,35
"388",21461,"F",2,5,8,31,35
"389",21462,"M",1,30,94,31,35
"390",21463,"F",5,5,91,31,35
"391",21464,"M",7,19,12,31,35
"392",21467,"F",12,30,11,31,3
"393",21469,"M",1,23,99,31,35
"394",21470,"F",2,26,5,31,35
"395",21471,"M",9,16,6,31,35
"396",21474,"F",3,7,1,31,35
"397",21475,"F",11,22,12,31,35
"398",21476,"F",12,25,14,31,35
"399",21477,"F",12,3,15,31,35
"400",21478,"F",11,27,93,31,35
"401",21479,"F",3,9,15,31,35
"402",21486,"M",2,12,16,31,3
"403",21491,"F",9,25,12,31,35
"404",21493,"M",12,17,4,31,35
"405",21494,"F",2,26,9,31,35
"406",21495,"F",7,17,12,31,35
"407",21498,"F",8,20,14,31,35
"408",21500,"F",11,26,11,31,35
"409",21501,"M",2,9,14,31,35
"410",21504,"F",11,5,85,31,35
"411",21505,"M",5,3,14,31,35
"412",21506,"F",2,23,94,31,35
"413",21507,"M",6,19,2,31,35
"414",21509,"F",8,15,12,31,35
"415",21510,"M",8,7,11,31,35
"416",21511,"F",10,21,14,31,35
"417",21512,"M",7,18,84,31,35
"418",21513,"F",8,25,95,31,35
"419",21515,"M",3,10,10,31,35
"420",21516,"M",8,6,16,31,35
"421",21517,"M",4,15,6,31,35
"422",21518,"M",4,30,96,31,35
"423",21519,"F",7,3,13,31,35
"424",21520,"F",11,30,95,31,35
"425",21522,"F",6,16,1,31,35
"426",21523,"M",7,23,94,31,35
"427",21524,"F",5,10,7,31,35
"428",21527,"M",6,16,12,31,35
"429",21533,"M",5,11,16,31,3
"430",21534,"M",5,22,97,31,53
"431",21535,"F",6,10,4,31,53
"432",21540,"F",4,1,10,31,28
"433",21543,"M",12,9,12,31,6
"434",21552,"M",10,17,13,31,3
"435",21561,"F",8,5,93,31,28
"436",21565,"F",7,12,7,31,28
"437",21568,"F",8,20,11,31,28
"438",21571,"M",5,17,13,31,53
"439",21574,"F",4,5,15,31,28
"440",21579,"M",1,7,13,31,28
"441",21582,"F",12,28,11,31,53
"442",21583,"F",8,24,5,31,28
"443",21584,"M",1,8,16,31,28
"444",21585,"M",9,30,99,31,28
"445",21586,"F",8,13,3,31,28
"446",21587,"F",3,22,91,31,28
"447",21589,"F",11,9,2,31,28
"448",21592,"M",5,29,0,31,28
"449",21594,"F",3,16,95,31,28
"450",21596,"F",1,31,5,31,28
"451",21597,"M",7,21,11,31,28
"452",21600,"M",5,4,9,31,28
"453",21601,"M",5,26,13,31,28
"454",21605,"F",9,2,8,31,28
"455",21608,"M",11,29,98,31,28
"456",21609,"F",4,24,0,31,28
"457",21610,"F",6,27,14,31,28
"458",21611,"F",4,27,94,31,28
"459",21612,"F",12,15,3,31,28
"460",21613,"F",3,14,3,31,28
"461",21614,"M",12,24,5,31,28
"462",21616,"F",11,23,12,31,28
"463",21617,"F",8,17,9,31,28
"464",21618,"F",12,15,98,31,28
"465",21622,"M",8,11,7,31,28
"466",21623,"M",7,8,5,31,28
"467",21626,"F",2,6,7,31,28
"468",21627,"M",5,26,8,31,28
"469",21629,"M",9,11,11,31,28
"470",21630,"F",6,14,89,31,28
"471",21636,"M",1,20,15,31,53
"472",21637,"F",12,2,14,31,6
"473",21640,"M",9,26,1,31,28
"474",21641,"F",3,8,13,31,28
"475",21642,"F",10,31,5,31,28
"476",21643,"M",2,14,1,31,28
"477",21645,"M",1,26,16,31,28
"478",21646,"M",12,22,11,31,28
"479",21647,"F",1,10,14,31,3
"480",21650,"M",3,25,13,31,28
"481",21652,"F",3,21,93,31,28
"482",21653,"F",2,14,97,31,28
"483",21655,"F",7,31,99,31,28
"484",21659,"F",1,12,11,31,28
"485",21660,"F",11,12,9,31,28
"486",21661,"F",7,10,8,31,28
"487",21662,"F",9,26,4,31,28
"488",21663,"M",9,5,97,31,28
"489",21665,"F",7,7,89,31,28
"490",21666,"F",8,2,91,31,28
"491",21668,"F",1,19,13,31,28
"492",21669,"F",11,1,99,31,28
"493",21670,"M",6,3,12,31,28
"494",21671,"F",4,13,13,31,28
"495",21672,"F",4,17,14,31,28
"496",21673,"F",9,19,2,31,28
"497",21674,"F",9,7,94,31,28
"498",21675,"M",4,17,97,31,28
"499",21676,"F",8,9,94,31,28
"500",21677,"F",6,23,13,31,28
"501",21678,"F",11,16,7,31,28
"502",21679,"F",8,2,86,31,28
"503",21680,"F",7,26,85,31,28
"504",21681,"F",8,9,7,31,28
"505",21683,"F",11,16,92,31,28
"506",21684,"M",7,2,4,31,28
"507",21685,"M",8,5,11,31,28
"508",21694,"F",8,6,3,31,28
"509",21700,"F",8,3,2,31,28
"510",21701,"M",4,13,4,31,28
"511",21702,"F",10,13,2,31,3
"512",21703,"F",8,9,88,31,28
"513",21704,"F",5,31,96,31,6
"514",21707,"F",8,4,98,31,28
"515",21709,"M",2,1,17,31,6
"516",21712,"M",7,9,13,31,28
"517",21714,"M",9,12,98,31,28
"518",21717,"M",10,29,16,31,28
"519",21718,"M",6,5,11,31,28
"520",21719,"F",12,3,9,31,53
"521",21721,"M",1,22,3,31,28
"522",21722,"M",10,21,1,31,28
"523",21723,"F",7,19,98,31,28
"524",21724,"F",1,10,94,31,28
"525",21725,"F",8,11,95,31,6
"526",21726,"F",6,8,9,31,28
"527",21728,"F",8,3,5,31,28
"528",21729,"M",5,30,94,31,28
"529",21730,"F",11,8,3,31,28
"530",21731,"M",11,13,6,31,28
"531",21732,"M",10,24,5,31,28
"532",21734,"M",1,14,17,31,28
"533",21735,"F",3,28,11,31,28
"534",21736,"F",9,15,92,31,28
"535",21737,"M",2,17,11,31,28
"536",21738,"F",7,16,9,31,28
"537",21739,"F",12,3,8,31,28
"538",21740,"M",4,30,5,31,28
"539",21741,"F",9,22,0,31,28
"540",21742,"M",8,7,1,31,28
"541",21743,"F",12,5,2,31,28
"542",21745,"M",1,25,14,31,3
"543",21747,"F",8,19,6,31,28
"544",21748,"M",10,24,8,31,28
"545",21749,"F",8,8,91,31,28
"546",21752,"M",1,13,13,31,53
"547",21753,"F",3,26,11,31,28
"548",21754,"F",4,21,9,31,3
"549",21755,"F",1,31,11,31,28
"550",21759,"F",9,26,98,31,28
"551",21761,"M",9,9,9,31,28
"552",21762,"M",6,8,99,31,28
"553",21764,"F",3,27,1,31,28
"554",21768,"F",7,20,9,31,28
"555",21770,"M",5,5,16,31,28
"556",21771,"F",4,12,92,31,28
"557",21772,"F",11,29,96,31,28
"558",21773,"F",4,18,97,31,28
"559",21777,"F",12,4,6,31,28
"560",21779,"F",10,18,98,31,28
"561",21780,"F",6,24,6,31,28
"562",21781,"F",1,18,9,31,28
"563",21782,"F",1,4,12,31,28
"564",21783,"F",3,18,16,31,28
"565",21784,"F",7,29,87,31,28
"566",21785,"F",3,11,5,31,28
"567",21786,"M",7,29,93,31,28
"568",21787,"M",12,7,8,31,28
"569",21788,"F",2,8,11,31,28
"570",21789,"M",7,30,14,31,28
"571",21790,"M",11,28,96,31,28
"572",21791,"F",3,30,99,31,28
"573",21792,"F",8,28,14,31,28
"574",21794,"M",4,26,2,31,53
"575",21796,"F",3,2,14,31,28
"576",21797,"M",1,29,4,31,28
"577",21798,"F",9,23,8,31,28
"578",21800,"M",10,18,95,31,28
"579",21801,"F",4,27,3,31,28
"580",21802,"M",12,21,6,31,28
"581",21803,"M",9,5,5,31,28
"582",21804,"M",8,2,9,31,28
"583",21805,"F",4,12,14,31,28
"584",21806,"F",9,8,1,31,28
"585",21810,"M",4,3,3,31,6
"586",21843,"M",5,8,12,31,53
"587",21864,"M",6,4,6,31,6
"588",21870,"M",1,9,8,31,3
"589",21897,"F",5,9,12,31,6
"590",21909,"F",10,10,6,31,37
"591",21912,"M",2,25,99,31,46
"592",21917,"M",1,13,5,31,28
"593",21919,"M",4,7,4,31,3
"594",21920,"M",11,26,3,31,46
"595",21990,"F",2,23,15,31,6
"596",22027,"M",10,22,3,31,35
"597",22041,"M",4,5,14,31,35
"598",22042,"F",7,27,12,31,35
"599",22070,"M",6,3,4,31,3
"600",22103,"F",2,7,85,31,35
"601",22144,"F",9,12,6,31,3
"602",22153,"F",1,20,11,31,3
"603",22171,"M",5,12,12,31,46
"604",22174,"M",8,12,13,31,46
"605",22193,"F",6,30,0,31,46
"606",22226,"M",8,6,7,31,53
"607",22227,"M",3,16,2,31,53
"608",22229,"M",3,20,4,31,3
"609",22230,"M",3,30,11,31,53
"610",22231,"M",1,8,17,31,53
"611",22232,"F",10,8,11,31,3
"612",22233,"F",1,6,11,31,53
"613",22234,"F",5,20,2,31,53
"614",22236,"M",1,6,14,31,53
"615",22239,"F",9,26,14,31,53
"616",22240,"F",4,5,95,31,53
"617",22241,"F",10,21,95,31,53
"618",22244,"M",5,8,5,31,3
"619",22245,"M",8,14,15,31,6
"620",22246,"F",8,6,6,31,28
"621",22247,"F",12,16,11,31,3
"622",22253,"F",7,12,15,31,53
"623",22254,"F",2,14,7,31,53
"624",22255,"M",11,16,4,31,53
"625",22256,"F",2,4,16,31,53
"626",22257,"F",11,7,11,31,53
"627",22258,"F",10,12,16,31,53
"628",22259,"F",2,6,7,31,53
"629",22260,"F",2,22,13,31,53
"630",22266,"F",9,26,14,31,53
"631",22267,"M",8,23,3,31,53
"632",22272,"M",7,24,98,31,3
"633",22273,"F",7,18,7,31,53
"634",22274,"F",2,10,85,31,53
"635",22275,"F",9,10,98,31,53
"636",22276,"F",11,15,9,31,53
"637",22277,"F",10,23,13,31,53
"638",22278,"F",5,16,3,31,53
"639",22279,"F",5,18,92,31,53
"640",22280,"F",9,7,14,31,6
"641",22283,"M",12,29,5,31,6
"642",22286,"M",9,4,1,31,53
"643",22287,"F",7,8,9,31,3
"644",22288,"F",3,22,99,31,6
"645",22290,"M",3,8,93,31,6
"646",22291,"M",9,11,12,31,6
"647",22292,"F",12,26,95,31,6
"648",22294,"M",1,15,9,31,6
"649",22296,"F",12,29,96,31,6
"650",22298,"M",1,26,90,31,6
"651",22299,"M",6,19,13,31,3
"652",22300,"M",4,23,6,31,6
"653",22301,"M",1,21,8,31,6
"654",22302,"F",7,28,2,31,6
"655",22303,"F",2,10,12,31,6
"656",22305,"M",11,15,5,31,6
"657",22307,"F",8,28,90,31,6
"658",22310,"F",5,5,9,31,6
"659",22312,"M",10,30,7,31,28
"660",22313,"M",3,29,1,31,6
"661",22322,"M",1,24,16,31,37
"662",22324,"F",12,16,9,31,6
"663",22327,"F",9,24,10,31,6
"664",22328,"M",10,28,11,31,6
"665",22330,"F",7,26,5,31,6
"666",22333,"M",11,3,9,31,6
"667",22334,"M",8,29,14,31,3
"668",22335,"F",6,6,12,31,3
"669",22337,"M",3,17,97,31,6
"670",22338,"M",10,13,14,31,6
"671",22339,"F",11,20,10,31,6
"672",22343,"F",1,21,12,31,53
"673",22352,"F",5,12,4,31,6
"674",22355,"F",1,21,9,31,6
"675",22358,"M",9,17,12,31,6
"676",22359,"M",4,19,92,31,6
"677",22360,"F",9,25,98,31,6
"678",22361,"M",3,14,7,31,53
"679",22362,"F",9,23,1,31,6
"680",22365,"F",5,20,15,31,6
"681",22370,"M",7,18,16,31,6
"682",22372,"F",10,2,90,31,6
"683",22373,"F",10,28,15,31,6
"684",22376,"M",3,30,9,31,6
"685",22377,"F",5,9,7,31,6
"686",22380,"M",12,3,16,31,37
"687",22383,"M",4,16,15,31,3
"688",22384,"F",5,15,5,31,6
"689",22385,"F",7,16,12,31,6
"690",22387,"F",5,30,4,31,6
"691",22389,"F",5,14,6,31,6
"692",22390,"F",2,1,8,31,6
"693",22392,"F",5,3,99,31,3
"694",22393,"F",2,10,0,31,28
"695",22394,"F",7,6,15,31,6
"696",22397,"M",8,3,96,31,28
"697",22399,"M",1,11,4,31,6
"698",22401,"F",10,9,9,31,6
"699",22408,"F",7,12,0,31,6
"700",22411,"F",3,27,5,31,3
"701",22412,"M",7,1,12,31,53
"702",22414,"M",2,8,98,31,6
"703",22421,"F",2,16,0,31,6
"704",22422,"M",8,6,11,31,35
"705",22423,"F",6,4,5,31,6
"706",22425,"F",4,10,0,31,6
"707",22427,"F",1,6,11,31,6
"708",22429,"F",12,1,12,31,6
"709",22430,"M",7,24,91,31,6
"710",22458,"M",11,9,2,31,53
"711",22474,"M",1,8,7,31,3
"712",22476,"M",7,21,15,31,3
"713",22477,"M",4,2,13,31,3
"714",22480,"F",9,28,3,31,3
"715",22482,"M",5,14,94,31,3
"716",22483,"F",3,12,97,31,6
"717",22484,"F",6,28,16,31,3
"718",22486,"M",4,5,15,31,3
"719",22487,"F",6,14,12,31,3
"720",22489,"M",8,10,90,31,3
"721",22491,"M",3,5,17,31,3
"722",22492,"M",1,9,15,31,3
"723",22494,"F",6,1,16,31,3
"724",22495,"M",7,21,3,31,3
"725",22496,"F",3,15,9,31,3
"726",22497,"F",9,20,88,31,3
"727",22500,"F",12,9,12,31,3
"728",22501,"F",10,6,98,31,3
"729",22504,"F",6,18,6,31,3
"730",22508,"F",8,12,85,31,3
"731",22509,"M",6,8,10,31,3
"732",22513,"F",2,8,9,31,3
"733",22514,"F",12,3,97,31,3
"734",22517,"F",9,22,99,31,3
